@,dirka,mal,2024
2,20,M. Marquez,GRESINI RACING MOTOGP,2458.425
3,16,M. Bezzecchi,PERTAMINA ENDURO VR46 RACING TEAM,2461.956
4,13,A. Marquez,GRESINI RACING MOTOGP,2465.258
5,11,E. Bastianini,DUCATI LENOVO TEAM,2465.306
6,10,B. Binder,RED BULL KTM FACTORY RACING,2465.854
7,9,F. Di Giannantonio,PERTAMINA ENDURO VR46 RACING TEAM,2468.116
8,8,M. Oliveira,TRACKHOUSE RACING,2469.032
9,7,M. Viales,APRILIA RACING,2469.270
10,6,P. Acosta,RED BULL GASGAS TECH3,2478.815
11,5,R. Fernandez,TRACKHOUSE RACING,2481.561
12,4,J. Mir,REPSOL HONDA TEAM,2481.637
13,3,A. Rins,MONSTER ENERGY YAMAHA MOTOGP TEAM,2486.505
14,2,T. Nakagami,IDEMITSU HONDA LCR,2487.102
15,1,F. Quartararo,MONSTER ENERGY YAMAHA MOTOGP TEAM,2490.068
16,0,S. Bradl,HRC TEST TEAM,2499.486
17,0,L. Marini,REPSOL HONDA TEAM,2501.376
@,dirka,ame,2024
1,25,M. Viales,APRILIA RACING,2469.503
2,20,P. Acosta,RED BULL GASGAS TECH3,2471.231
3,16,E. Bastianini,DUCATI LENOVO TEAM,2472.206
4,13,J. Martin,PRIMA PRAMAC RACING,2474.193
5,11,F. Bagnaia,DUCATI LENOVO TEAM,2476.895
6,10,F. Di Giannantonio,PERTAMINA ENDURO VR46 RACING TEAM,2479.483
7,9,A. Espargaro,APRILIA RACING,2481.711
8,8,M. Bezzecchi,PERTAMINA ENDURO VR46 RACING TEAM,2482.846
9,7,B. Binder,RED BULL KTM FACTORY RACING,2484.434
10,6,R. Fernandez,TRACKHOUSE RACING,2486.159
11,5,M. Oliveira,TRACKHOUSE RACING,2488.045
12,4,F. Quartararo,MONSTER ENERGY YAMAHA MOTOGP TEAM,2492.402
13,3,J. Miller,RED BULL KTM FACTORY RACING,2493.514
14,2,A. Fernandez,RED BULL GASGAS TECH3,2497.155
15,1,A. Marquez,GRESINI RACING MOTOGP,2502.358
16,0,L. Marini,REPSOL HONDA TEAM,2503.032
@,dirka,por,2024
1,25,J. Martin,PRIMA PRAMAC RACING,2478.138
2,20,E. Bastianini,DUCATI LENOVO TEAM,2479.020
3,16,P. Acosta,RED BULL GASGAS TECH3,2483.500
4,13,B. Binder,RED BULL KTM FACTORY RACING,2489.267
5,11,J. Miller,RED BULL KTM FACTORY RACING,2494.575
6,10,M. Bezzecchi,PERTAMINA ENDURO VR46 RACING TEAM,2497.541
7,9,F. Quartararo,MONSTER ENERGY YAMAHA MOTOGP TEAM,2498.268
8,8,A. Espargaro,APRILIA RACING,2499.687
9,7,M. Oliveira,TRACKHOUSE RACING,2502.067
10,6,F. Di Giannantonio,PERTAMINA ENDURO VR46 RACING TEAM,2506.333
11,5,A. Fernandez,RED BULL GASGAS TECH3,2506.382
12,4,J. Mir,REPSOL HONDA TEAM,2507.409
13,3,A. Rins,MONSTER ENERGY YAMAHA MOTOGP TEAM,2509.472
14,2,T. Nakagami,IDEMITSU HONDA LCR,2513.070
15,1,J. Zarco,CASTROL HONDA LCR,2516.405
16,0,M. Marquez,GRESINI RACING MOTOGP,2518.312
17,0,L. Marini,REPSOL HONDA TEAM,2518.913
18,0,F. Morbidelli,PRIMA PRAMAC RACING,2530.500
@,dirka,qat,2024
1,25,F. Bagnaia,DUCATI LENOVO TEAM,2374.869
2,20,B. Binder,RED BULL KTM FACTORY RACING,2376.198
3,16,J. Martin,PRIMA PRAMAC RACING,2376.802
4,13,M. Marquez,GRESINI RACING MOTOGP,2378.298
5,11,E. Bastianini,DUCATI LENOVO TEAM,2380.022
6,10,A. Marquez,GRESINI RACING MOTOGP,2381.660
7,9,F. Di Giannantonio,PERTAMINA ENDURO VR46 RACING TEAM,2384.030
